schools_1km,hospitals_1km,transit_1km,Outlet_ID
0,0,0,OUT_00001
1,0,0,OUT_00002
0,0,0,OUT_00003
0,0,0,OUT_00004
1,0,0,OUT_00005
0,0,0,OUT_00006
0,0,0,OUT_00007
0,0,0,OUT_00008
0,0,0,OUT_00009
11,5,25,OUT_00010
0,0,0,OUT_00011
0,0,0,OUT_00012
0,0,5,OUT_00013
2,0,0,OUT_00014
0,0,0,OUT_00015
0,0,0,OUT_00016
1,0,0,OUT_00017
0,0,0,OUT_00018
0,0,0,OUT_00019
0,1,0,OUT_00020
0,0,0,OUT_00021
0,0,0,OUT_00022
1,0,0,OUT_00023
0,0,0,OUT_00024
0,0,0,OUT_00025
14,1,14,OUT_00026
0,0,0,OUT_00027
0,0,0,OUT_00028
4,2,2,OUT_00029
0,0,0,OUT_00030
0,0,0,OUT_00031
0,0,5,OUT_00032
0,0,0,OUT_00033
1,0,0,OUT_00034
0,0,0,OUT_00035
0,0,0,OUT_00036
0,0,0,OUT_00037
0,0,0,OUT_00038
0,0,0,OUT_00039
7,0,7,OUT_00040
0,0,0,OUT_00041
0,0,0,OUT_00042
0,0,0,OUT_00043
10,0,6,OUT_00044
3,0,3,OUT_00045
0,0,0,OUT_00046
1,0,0,OUT_00047
1,0,0,OUT_00048
1,0,0,OUT_00049
0,0,2,OUT_00050
0,0,0,OUT_00051
0,0,0,OUT_00052
0,0,0,OUT_00053
2,0,0,OUT_00054
1,0,0,OUT_00055
0,1,0,OUT_00056
0,0,0,OUT_00057
0,0,0,OUT_00058
0,0,0,OUT_00059
0,0,1,OUT_00060
0,0,0,OUT_00061
1,0,0,OUT_00062
0,0,0,OUT_00063
0,0,0,OUT_00064
0,0,0,OUT_00065
0,0,0,OUT_00066
0,0,0,OUT_00067
0,0,0,OUT_00068
3,0,0,OUT_00069
2,1,4,OUT_00070
0,0,1,OUT_00071
0,0,0,OUT_00072
0,0,0,OUT_00073
2,0,8,OUT_00074
0,0,0,OUT_00075
0,0,1,OUT_00076
0,0,0,OUT_00077
1,0,17,OUT_00078
1,0,0,OUT_00079
0,0,0,OUT_00080
0,0,0,OUT_00081
2,0,0,OUT_00082
0,0,0,OUT_00083
0,0,2,OUT_00084
0,0,0,OUT_00085
1,0,0,OUT_00086
0,0,0,OUT_00087
0,0,0,OUT_00088
1,0,4,OUT_00089
0,0,0,OUT_00090
0,0,1,OUT_00091
0,0,0,OUT_00092
1,0,0,OUT_00093
3,2,7,OUT_00094
0,0,0,OUT_00095
0,0,0,OUT_00096
0,0,0,OUT_00097
0,0,0,OUT_00098
1,0,7,OUT_00099
2,0,10,OUT_00100
0,0,0,OUT_00101
0,0,0,OUT_00102
0,0,0,OUT_00103
5,3,7,OUT_00104
3,0,1,OUT_00105
0,0,0,OUT_00106
0,0,0,OUT_00107
0,0,1,OUT_00108
0,0,0,OUT_00109
0,0,0,OUT_00110
0,0,0,OUT_00111
0,0,0,OUT_00112
2,0,9,OUT_00113
0,0,0,OUT_00114
2,1,2,OUT_00115
0,0,4,OUT_00116
0,0,1,OUT_00117
0,1,1,OUT_00118
2,0,0,OUT_00119
0,0,0,OUT_00120
0,0,0,OUT_00121
0,0,0,OUT_00122
0,0,0,OUT_00123
0,0,0,OUT_00124
0,0,9,OUT_00125
0,0,0,OUT_00126
0,0,0,OUT_00127
3,0,1,OUT_00128
1,0,0,OUT_00129
